kategoria,nazwa,adres,teryt_gmina
przedszkole,PRZEDSZKOLE MIEJSKIE NR 1 Z ODDZIAŁEM INTEGRACYJNYM,"Drzymały 9, 11-500 Giżycko",2806011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE W KOWALACH OLECKICH,"Kościuszki 88, 19-420 Kowale Oleckie",2813032
przedszkole,NIEPUBLICZNE PRZEDSZKOLE W NIWCE,"Niwka 25, 33-130 Niwka",1216055
przedszkole,"PRZEDSZKOLE NR 47 ""LEŚNA PĘTELKA""","Konstantego Maciejewicza 9, 81-189 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 35 POD ŻAGLAMI,"płk. Stanisława Dąbka 167, 81-167 Gdynia",2262011
przedszkole,NIEPUBLICZNE PRZEDSZKOLE W BISKUPICACH RADŁOWSKICH,"Szkolna 2, 33-130 Biskupice Radłowskie",1216055
przedszkole,PRZEDSZKOLE NR 27 MALUTKOWO,"Wiejska 30, 81-068 Gdynia",2262011
przedszkole,PRZEDSZKOLE PUBLICZNE W RZEPIENNIKU BISKUPIM,"Rzepiennik Biskupi 223, 33-163 Rzepiennik Biskupi",1216072
przedszkole,PRZEDSZKOLE PUBLICZNE NR 41,"Jacka Malczewskiego 24, 71-612 Szczecin",3262011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 48,"9 Maja 13, 70-136 Szczecin",3262011
przedszkole,PRZEDSZKOLE DWUJĘZYCZNE LINGUALAND W ZIELONEJ GÓRZE,"Kazimierza Wielkiego 10, 65-047 Zielona Góra",0862011
przedszkole,"NIEPUBLICZNE PRZEDSZKOLE ""JUNIOREK""","800-lecia Inowrocławia 3, 88-100 Inowrocław",0407011
przedszkole,"PRZEDSZKOLE NIEPUBLICZNE ""U NATALKI I KUBUSIA""","Kasztelańska 17, 88-100 Inowrocław",0407011
przedszkole,PRZEDSZKOLE NIEPUBLICZNE NR 11 SIÓSTR RODZINY MARYI,"Kasztanowa 21, 05-270 Marki",1434021
przedszkole,PRZEDSZKOLE NR 24 IM. JANUSZA KORCZAKA,"Janusza Korczaka 22, 81-472 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 23,"Sandomierska 3, 81-508 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 22,"gen. Józefa Hallera 37, 81-452 Gdynia",2262011
przedszkole,"PRZEDSZKOLE NR 49 ""BAJKOWY OGRÓD""","kadm. Włodzimierza Brunona Steyera 2, 81-175 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 13,"Widna 15, 81-543 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 8 PLUSZOWY MISIACZEK,"Kapitańska 15, 81-249 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 1 Z ODDZIAŁAMI INTEGRACYJNYMI W MYSŁOWICACH,"Laryska 9, 41-404 Mysłowice",2470011
przedszkole,PRZEDSZKOLE NR 2W MYSŁOWICACH,"Marii Konopnickiej 1, 41-404 Mysłowice",2470011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 1 IM. WANDY CHOTOMSKIEJ W SKARŻYSKU-KAMIENNEJ,"Rynek 63, 26-110 Skarżysko-Kamienna",2610011
przedszkole,PRZEDSZKOLE NR 3 W MYSŁOWICACH,"Bernarda Wały 3, 41-412 Mysłowice",2470011
przedszkole,PRZEDSZKOLE NR 4 W MYSŁOWICACH,"Stanisława Wyspiańskiego 16a, 41-400 Mysłowice",2470011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 6 W SKARŻYSKU-KAMIENNEJ,"Kossaka 5, 26-110 Skarżysko-Kamienna",2610011
przedszkole,PRZEDSZKOLE NR 5 W MYSŁOWICACH,"Armii Krajowej 28, 41-400 Mysłowice",2470011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 9 W SKARŻYSKU-KAMIENNEJ,"Paryska 223, 26-110 Skarżysko-Kamienna",2610011
przedszkole,PRZEDSZKOLE INTEGRACYJNE W MYSŁOWICACH,"Portowa 11a, 41-400 Mysłowice",2470011
przedszkole,PUBLICZNE PRZEDSZKOLE W KRZEMIENIEWIE,"Spółdzielcza 48, 64-120 Krzemieniewo",3013012
przedszkole,PRZEDSZKOLE NR 8 W MYSŁOWICACH,"Gwarków 22, 41-400 Mysłowice",2470011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 16 W SKARŻYSKU-KAMIENNEJ,"Spółdzielcza 18, 26-110 Skarżysko-Kamienna",2610011
przedszkole,PRZEDSZKOLE NR 9 W MYSŁOWICACH,"Janowska 2, 41-400 Mysłowice",2470011
przedszkole,PRZEDSZKOLE PUBLICZNE W KOŚCIERZYCACH,"Kościerzyce 31, 49-314 Kościerzyce",1601052
przedszkole,"PRZEDSZKOLE NR 29 ""ADMIRAŁKI"" W GDYNI","adm. J. Unruga 53, 81-181 Gdynia",2262011
przedszkole,PRZEDSZKOLE W ŻOŁYNI,"Białobrzeska 230A, 37-110 Żołynia",1810072
przedszkole,PRZEDSZKOLE PUBLICZNE NR 14,"Ks. bpa Władysława Bandurskiego 56, 71-685 Szczecin",3262011
przedszkole,PRZEDSZKOLE NR 10 W MYSŁOWICACH,"Niepodległości 44, 41-400 Mysłowice",2470011
