kategoria,nazwa,adres,teryt_gmina
poz,Zakład Diagnostyki Laboratoryjnej w Lubinie,"Marii Skłodowskiej-Curie 52, 59-301 Lubin",0211011
poz,Miedziowe Centrum Badań Pschologicznych w Lubinie,"Marii Skłodowskiej-Curie 60, 59-301 Lubin",0211011
poz,Poradnia nocnej i świątecznej opieki zdrowotnej w Polkowicach,"Kardynała Bolesława Kominka 7, 59-101 Polkowice",0216044
poz,Przychodnia w Grębocicach,"Zielona 3A, 59-150 Grębocice",0216032
poz,Przychodnia w Rudnej,"Polna 3, 59-305 Rudna",0211032
poz,Przychodnia w Chobieni,"Parkowa 1, 59-340 Chobienia",0211032
poz,Przychodnia Gminna w Nowogrodźcu,"Adama Asnyka 55, 59-730 Nowogrodziec",0201044
poz,Wiejski Osrodek Zdrowia w Zebrzydowej,"Zebrzydowa 130, 59-730 Zebrzydowa",0201045
poz,Wiejski Ośrodek Zdrowia w Wykrotach,"Pocztowa 10, 59-730 Wykroty",0201045
poz,Zakład Opiekuńczo Leczniczy - Dom Opieki Specjalistycznej,"Cicha 4, 59-730 Nowogrodziec",0201044
poz,Zespół Zakładów Opieki Zdrowotnej,"Lubańska 16, 59-730 Nowogrodziec",0201044
poz,Ośrodek Profilaktyki i Lecznictwa Wojnów Sp. z o.o.,"Strachocińska 84, 51-511 Wrocław",0264049
poz,ZAKŁAD LECZNICZO-OPIEKUŃCZY DLA DZIECI PROWADZONY PRZEZ ZGROMADZENIE SIÓSTR MARYI NIEPOKALANEJ PROWINCJA POLSKA,"Piszkowice 53, 57-300 Piszkowice",0208072
poz,ZAKŁAD OPIEKUŃCZO-LECZNICZY DLA DZIECI IMIENIA JANA PAWŁA II PROWADZONY PRZEZ ZGROMADZENIE SIÓSTR MARYI NIEPOKALANEJ PROWINCJA POLSKA,"Jaszkotle 21, 55-080 Jaszkotle",0223045
poz,Niepubliczna Przychodnia Stomatologiczna s.c.,"Stanisława Moniuszki 9, 67-200 Głogów",0203011
poz,"Niepubliczny Ośrodek Opieki Zdrowotnej ""NEX - MEDICAL""  w Świebodzicach","Kolejowa 19, 58-160 Świebodzice",0219021
poz,Niepubliczny Zakład Opieki Zdrowotnej Ośrodek Neuropsychiatrii Dziecięcej,"Adama Asnyka 49, 59-220 Legnica",0262011
poz,"Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska  ""ESKULAP""","Daszyńskiego 17 A, 55-300 Środa Śląska",0218044
